o_iti_it bp fp     mu             rho                  LogCost              OptError             Error Reg   Step  Upt
   1   0  0 11 1.0000          1.0000                  -3.3736             4611.3582        31211.5960   0 0.0010    0
  72  13  0  0 0.0400        100.0000                 354.7180              225.2621            0.0001   1 0.0020   69
  73  14  0  0 0.0400        100.0000                 354.3780              224.8221            0.0001   1 0.0039   70
  74  15  0  0 0.0400        100.0000                 354.0410              223.9439            0.0001   1 0.0039   71
  75  16  0  0 0.0400        100.0000                 353.7068              223.0691            0.0001   1 0.0039   72
  76  17  0  0 0.0400        100.0000                 353.3753              222.1978            0.0001   1 0.0039   73
  77  18  0  0 0.0400        100.0000                 353.0466              221.3298            0.0001   1 0.0039   74
  78  19  0  0 0.0400        100.0000                 352.8837              220.4652            0.0001   1 0.0020   75
  79  20  0  0 0.0400        100.0000                 352.5590              220.0346            0.0001   1 0.0039   76
  80  21  0  0 0.0400        100.0000                 352.2370              219.1751            0.0001   1 0.0039   77
  81  22  0  0 0.0400        100.0000                 351.9176              218.3190            0.0001   1 0.0039   78
  82  23  0  0 0.0400        100.0000                 351.6008              217.4662            0.0001   1 0.0039   79
  83  24  0  0 0.0400        100.0000                 351.2865              216.6167            0.0001   1 0.0039   80
  84  25  0  0 0.0400        100.0000                 350.9747              215.7705            0.0001   1 0.0039   81
  85  26  0  0 0.0400        100.0000                 350.6654              214.9277            0.0001   1 0.0039   82
  86  27  0  0 0.0400        100.0000                 350.3585              214.0881            0.0001   1 0.0039   83
  87  28  0  0 0.0400        100.0000                 350.0540              213.2518            0.0001   1 0.0039   84
  88  29  0  0 0.0400        100.0000                 349.7519              212.4188            0.0001   1 0.0039   85
  89  30  0  0 0.0400        100.0000                 349.4521              211.5891            0.0001   1 0.0039   86
  90  31  0  0 0.0400        100.0000                 349.1545              210.7625            0.0001   1 0.0039   87
  91  32  0  0 0.0400        100.0000                 348.8593              209.9392            0.0001   1 0.0039   88
  92  33  0  0 0.0400        100.0000                 348.5663              209.1192            0.0001   1 0.0039   89
  93  34  0  0 0.0400        100.0000                 348.2754              208.3023            0.0001   1 0.0039   90
  94  35  0  0 0.0400        100.0000                 347.9868              207.4886            0.0001   1 0.0039   91
  95  36  0  0 0.0400        100.0000                 347.7002              206.6781            0.0001   1 0.0039   92
  96  37  0  0 0.0400        100.0000                 347.4158              205.8708            0.0001   1 0.0039   93
  97  38  0  0 0.0400        100.0000                 347.1334              205.0666            0.0001   1 0.0039   94
  98  39  0  0 0.0400        100.0000                 346.8531              204.2656            0.0001   1 0.0039   95
  99  40  0  0 0.0400        100.0000                 346.5748              203.4676            0.0001   1 0.0039   96
 100  41  0  0 0.0400        100.0000                 346.0218              202.6728            0.0001   1 0.0078   97
 101  42  0  0 0.0400        100.0000                 345.7493              201.0895            0.0001   1 0.0039   98
 102  43  0  0 0.0400        100.0000                 345.4788              200.3040            0.0001   1 0.0039   99
 103  44  0  0 0.0400        100.0000                 345.2102              199.5215            0.0001   1 0.0039  100
 104  45  0  0 0.0400        100.0000                 344.9434              198.7421            0.0001   1 0.0039  101
 105  46  0  0 0.0400        100.0000                 344.6784              197.9658            0.0001   1 0.0039  102
